epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,560.922,0.87546,0.58085,0.89731,0.94516,0.94054,0.98511,0.77219,0.76063,0.50099,0.83215,0.0008714,0.0008714,0.0008714
59,570.558,0.8576,0.56881,0.89173,0.95248,0.93514,0.98493,0.79242,0.68837,0.48696,0.8279,0.0008516,0.0008516,0.0008516
60,580.39,0.84432,0.55868,0.88445,0.94707,0.93694,0.98506,0.80668,0.62919,0.47775,0.82552,0.0008318,0.0008318,0.0008318
61,590.038,0.81977,0.55571,0.88291,0.94363,0.935,0.98438,0.80418,0.62825,0.47757,0.82679,0.000812,0.000812,0.000812
62,599.807,0.82676,0.55932,0.89306,0.94619,0.93694,0.98555,0.79684,0.68467,0.48923,0.82784,0.0007922,0.0007922,0.0007922
63,609.562,0.85828,0.55678,0.88222,0.94385,0.93893,0.9849,0.81093,0.63432,0.48424,0.8255,0.0007724,0.0007724,0.0007724
64,619.354,0.87412,0.56899,0.88683,0.94544,0.93514,0.98511,0.81049,0.62514,0.48115,0.82481,0.0007526,0.0007526,0.0007526
65,628.957,0.83884,0.57272,0.89458,0.95492,0.92613,0.98479,0.80496,0.65927,0.48072,0.82496,0.0007328,0.0007328,0.0007328
66,638.602,0.82631,0.55421,0.89558,0.96206,0.91375,0.98413,0.80823,0.62812,0.46172,0.82366,0.000713,0.000713,0.000713
67,648.248,0.78299,0.56631,0.88974,0.96553,0.90845,0.98387,0.8071,0.6337,0.4618,0.82416,0.0006932,0.0006932,0.0006932
68,657.87,0.7772,0.52483,0.88003,0.94351,0.93292,0.98413,0.80426,0.64689,0.46428,0.82457,0.0006734,0.0006734,0.0006734
69,667.65,0.8026,0.5444,0.87644,0.95685,0.919,0.98436,0.80359,0.63732,0.46548,0.82517,0.0006536,0.0006536,0.0006536
70,677.464,0.80216,0.53802,0.87528,0.9645,0.92793,0.98561,0.81127,0.62828,0.46308,0.82358,0.0006338,0.0006338,0.0006338
71,687.147,0.77074,0.53249,0.87596,0.96437,0.92651,0.98554,0.81147,0.62544,0.4567,0.82232,0.000614,0.000614,0.000614
72,696.885,0.81324,0.53738,0.88972,0.95876,0.93874,0.98573,0.80966,0.62943,0.46133,0.82407,0.0005942,0.0005942,0.0005942
73,706.711,0.77352,0.52283,0.87224,0.95769,0.93805,0.98419,0.81227,0.62734,0.4597,0.82511,0.0005744,0.0005744,0.0005744
74,716.437,0.79952,0.55052,0.89411,0.95414,0.93722,0.98212,0.80604,0.63465,0.46137,0.82846,0.0005546,0.0005546,0.0005546
75,726.296,0.80562,0.53562,0.87797,0.95064,0.93701,0.9821,0.78759,0.68597,0.46296,0.82907,0.0005348,0.0005348,0.0005348
76,736.101,0.79692,0.53086,0.87942,0.94967,0.93874,0.98459,0.78722,0.68314,0.45925,0.82754,0.000515,0.000515,0.000515
77,745.663,0.80213,0.54149,0.88298,0.94261,0.94709,0.98541,0.80488,0.63698,0.45373,0.82429,0.0004952,0.0004952,0.0004952
78,755.291,0.77679,0.51975,0.87567,0.93324,0.9571,0.98563,0.8193,0.60633,0.44614,0.82172,0.0004754,0.0004754,0.0004754
79,764.799,0.78625,0.52446,0.87778,0.92982,0.95856,0.9856,0.81208,0.62399,0.44997,0.82315,0.0004556,0.0004556,0.0004556
80,774.318,0.77625,0.5177,0.87522,0.93151,0.95577,0.98551,0.81521,0.6264,0.45016,0.82225,0.0004358,0.0004358,0.0004358
81,784.004,0.76786,0.51447,0.87525,0.93302,0.95495,0.98551,0.81052,0.63535,0.44862,0.82183,0.000416,0.000416,0.000416
82,793.656,0.81384,0.52746,0.87127,0.9456,0.94414,0.98558,0.80991,0.63133,0.44392,0.82222,0.0003962,0.0003962,0.0003962
83,803.197,0.77148,0.51178,0.8777,0.95427,0.93993,0.98561,0.80804,0.62492,0.44149,0.82321,0.0003764,0.0003764,0.0003764
84,812.842,0.78118,0.51265,0.86602,0.9491,0.94067,0.9862,0.80578,0.64173,0.44282,0.82427,0.0003566,0.0003566,0.0003566
85,822.479,0.78561,0.51597,0.87534,0.9543,0.92973,0.98605,0.80061,0.65163,0.44072,0.82327,0.0003368,0.0003368,0.0003368
86,832.053,0.7697,0.51562,0.87603,0.94432,0.94234,0.98623,0.81605,0.60255,0.43137,0.82037,0.000317,0.000317,0.000317
87,841.535,0.74099,0.50402,0.8767,0.94891,0.93695,0.98626,0.81921,0.59277,0.42836,0.8196,0.0002972,0.0002972,0.0002972
88,851.188,0.76931,0.49999,0.86949,0.94546,0.93704,0.98623,0.81886,0.60237,0.42917,0.8202,0.0002774,0.0002774,0.0002774
89,860.732,0.74074,0.50007,0.87366,0.94875,0.93392,0.98588,0.80762,0.63096,0.43294,0.82231,0.0002576,0.0002576,0.0002576
90,870.411,0.80655,0.51605,0.87565,0.95518,0.93333,0.98577,0.80744,0.62711,0.42952,0.82325,0.0002378,0.0002378,0.0002378
91,879.484,0.7505,0.65078,0.87932,0.95124,0.93153,0.98548,0.81139,0.6174,0.42854,0.82216,0.000218,0.000218,0.000218
92,888.459,0.75732,0.59603,0.86682,0.94377,0.93746,0.9843,0.80895,0.61879,0.43458,0.82215,0.0001982,0.0001982,0.0001982
93,897.479,0.76663,0.57748,0.86667,0.94802,0.93694,0.98377,0.80151,0.63432,0.44344,0.82424,0.0001784,0.0001784,0.0001784
94,906.489,0.76367,0.58133,0.87688,0.95385,0.93514,0.98278,0.78388,0.68121,0.45342,0.8307,0.0001586,0.0001586,0.0001586
95,915.496,0.74474,0.56849,0.87521,0.95199,0.92897,0.9822,0.78559,0.68264,0.45176,0.83021,0.0001388,0.0001388,0.0001388
96,924.503,0.72621,0.54525,0.86807,0.93403,0.94386,0.98187,0.79283,0.66631,0.44564,0.8274,0.000119,0.000119,0.000119
97,933.541,0.73502,0.53596,0.87019,0.9517,0.92973,0.98331,0.79905,0.64864,0.44175,0.82491,9.92e-05,9.92e-05,9.92e-05
98,942.568,0.72703,0.5283,0.87185,0.9457,0.94135,0.98548,0.81108,0.6188,0.43721,0.82232,7.94e-05,7.94e-05,7.94e-05
99,951.576,0.71593,0.51742,0.86552,0.94588,0.94466,0.98625,0.81071,0.61393,0.4368,0.82191,5.96e-05,5.96e-05,5.96e-05
100,960.607,0.7547,0.54056,0.87171,0.94753,0.94368,0.98648,0.81087,0.61386,0.43658,0.82182,3.98e-05,3.98e-05,3.98e-05
